width,height,success or failure,time
0.75,0.25,1,0.0979227
0.25,1,1,0.0398289
0.75,0.5,1,0.2652592
0.75,1,1,0.0551737
0.5,0.75,1,0.0696661
0.25,1,1,0.0133885
0.5,0.5,1,0.0835439
1,0.5,1,0.1109238
1,0.25,1,0.3222395
0.5,0.75,1,0.0849766
0.5,0.25,1,0.1267665
0.25,0.25,1,0.084176
1,0.75,1,0.1821172
0.75,0.75,1,0.1396504
1,1,1,0.1404907
0.25,0.5,1,0.0429889
width,height,success or failure,time
0.75,0.25,1,0.0979227
0.25,1,1,0.0398289
0.75,0.5,1,0.2652592
0.75,1,1,0.0551737
0.5,0.75,1,0.0696661
0.25,1,1,0.0133885
0.5,0.5,1,0.0835439
1,0.5,1,0.1109238
1,0.25,1,0.3222395
0.5,0.75,1,0.0849766
0.5,0.25,1,0.1267665
0.25,0.25,1,0.084176
1,0.75,1,0.1821172
0.75,0.75,1,0.1396504
1,1,1,0.1404907
0.25,0.5,1,0.0429889
0.5,0.25,1,0.0840557
0.75,0.5,1,0.1387783
1,1,1,0.1524412
0.25,0.75,1,0.0417185
0.75,1,1,0.1114122
0.5,0.5,1,0.0842359
0.5,0.25,1,0.1399932
1,0.5,1,0.1959927
0.25,0.5,1,0.0555455
0.5,0.75,1,0.0968045
0.75,0.25,1,0.1812609
0.25,1,1,0.0716026
1,0.75,1,0.1409082
0.25,0.25,1,0.0551963
0.75,1,1,0.0969044
1,0.75,1,0.1400165
width,height,success or failure,time
1,1,1,0.0727787
0.25,0.25,1,0.0552901
0.5,0.75,1,0.0412328
0.25,0.25,1,0.0971777
0.5,0.5,1,0.0273117
0.25,1,1,0.0137432
0.25,0.25,1,0.0135715
0.5,1,1,0.0430216
1,0.75,1,0.1111157
0.75,0.75,1,0.0830215
1,0.5,1,0.1265313
0.5,0.25,1,0.0697417
0.75,0.5,1,0.0700471
1,0.5,1,0.1086729
0.75,0.75,1,0.0695832
0.75,1,1,0.0805748
width,height,success or failure,time
1,1,1,0.0727787
0.25,0.25,1,0.0552901
0.5,0.75,1,0.0412328
0.25,0.25,1,0.0971777
0.5,0.5,1,0.0273117
0.25,1,1,0.0137432
0.25,0.25,1,0.0135715
0.5,1,1,0.0430216
1,0.75,1,0.1111157
0.75,0.75,1,0.0830215
1,0.5,1,0.1265313
0.5,0.25,1,0.0697417
0.75,0.5,1,0.0700471
1,0.5,1,0.1086729
0.75,0.75,1,0.0695832
0.75,1,1,0.0805748
0.75,1,1,0.08410481
0.75,1,1,0.0402713
0.25,1,1,0.0418261
1,1,0,0.3934599
1,0.75,1,0.098043
0.5,0.25,1,0.0840283
1,0.5,1,0.08296721
0.5,0.25,1,0.042212
0.25,0.25,1,0.0428356
0.5,0.75,1,0.0289662
0.75,0.5,1,0.1106347
0.75,1,1,0.0569039
0.5,0.5,1,0.070113
0.25,0.75,1,0.0427855
1,0.5,1,0.0971038
0.25,0.75,1,0.0147249
