width,height,success or failure,time
width,height,success or failure,time
width,height,success or failure,time
320,23,1,0.8214743
800,33,1,1.002707
320,45,1,0.3191574
800,45,1,0.7252468
480,23,0,0.0149559
480,33,1,0.7796774
800,45,1,0.8917691
640,33,0,0.974381
800,45,0,1.378953
640,33,1,1.238499
480,23,0,0.8350693
320,15,1,0.486436
640,33,0,0.0687557
640,45,1,1.685292
480,23,1,0.6821015
320,33,1,0.3476462
320,45,1,0.2089435
320,45,1,0.2222317
640,33,0,0.3179534
800,23,1,1.420777
480,23,0,0.8771953
800,33,1,1.153778
480,15,1,1.044267
480,23,0,0.7934416
800,23,1,1.181939
320,45,1,0.1947485
640,23,1,0.5991971
640,33,0,0.0138311
640,33,0,0.5574333
800,45,1,0.5990648
320,33,1,0.2506382
480,33,1,0.40195
640,45,1,0.4031254
320,15,0,0.1672066
320,45,1,0.1797776
640,33,0,0.559088
640,33,1,0.5016211
800,45,0,0.1680506
320,15,0,0.4993221
480,23,0,1.210235
800,45,1,1.198218
800,23,1,1.599618
480,23,0,0.1532879
640,45,1,0.8634354
800,45,0,1.141419
480,33,1,0.9052681
320,33,1,0.5580451
480,23,0,0.5282765
800,45,0,0.3340552
480,23,0,0.7092154
320,33,1,0.8194966
640,45,1,0.6692916
800,33,1,1.071947
480,45,1,0.5435437
320,15,1,0.6130551
640,45,1,0.723871
320,15,0,0.140532
480,23,0,1.517249
800,45,1,1.252991
320,33,1,0.8490485
480,23,0,1.420907
800,45,0,0.877075
640,33,1,1.517125
640,23,1,2.203317
480,45,1,0.8493286
480,33,1,1.181473
640,45,1,1.030959
320,45,1,0.5005449
640,33,0,0.6540723
800,45,0,0.6407495
640,23,1,1.18312
320,15,0,0.0418773
800,33,1,1.238248
320,15,0,0.2649119
800,45,0,1.74403
480,23,0,0.0133118
800,33,1,1.086809
640,33,1,0.7516155
320,45,1,0.4049982
480,23,1,0.6273155
320,15,0,0.3206066
640,33,0,0.8909457
320,33,1,0.3333838
640,45,1,0.5994827
480,33,1,0.4600572
800,45,0,0.1943771
800,45,0,0.2509828
640,33,0,1.00248
480,23,0,0.2086704
320,33,1,0.3064155
480,23,0,0.3064313
480,23,0,1.294962
640,33,1,0.4306355
320,45,1,0.180931
800,23,1,0.6537327
800,45,1,0.8207971
640,33,1,0.7098421
480,45,1,0.3898464
800,23,1,1.098317
800,33,1,1.099951
800,45,0,0.0974919
480,23,1,0.7370384
320,23,1,0.4868183
640,33,0,0.9613126
640,23,1,1.01666
800,45,0,1.141702
480,45,1,0.4172157
320,15,0,0.3485496
320,15,1,0.2761535
320,45,1,0.250088
480,33,1,0.6390008
640,45,1,0.5967177
width,height,success or failure,time
