width,height,success or failure,time
640,34.50001,1,2.980748
320,22.5,1,2.157906
640,49.50001,0,1.101249
320,22.5,1,2.451015
480,49.50001,1,1.782901
800,49.50001,1,2.765612
800,49.50001,1,2.678978
320,34.50001,1,1.237818
640,67.50001,1,1.688799
800,49.50001,1,1.9218
800,67.50001,0,1.97866
320,67.50001,1,0.6414318
480,67.50001,1,1.183363
640,49.50001,0,0.2230719
480,22.5,1,3.077957
480,67.50001,1,1.099637
640,34.50001,1,2.330899
480,67.50001,1,0.9044622
480,34.50001,0,0.4038049
480,49.50001,1,1.638735
800,67.50001,1,1.698808
800,67.50001,0,4.021591
800,67.50001,1,1.547185
320,22.5,0,1.002527
640,49.50001,1,2.032124
480,34.50001,0,2.577323
800,49.50001,1,2.339708
320,22.5,1,1.62867
640,34.50001,1,2.436383
320,22.5,0,0.3335322
640,49.50001,0,2.42277
320,67.50001,1,0.7794429
800,67.50001,1,1.842324
480,34.50001,0,2.869103
640,49.50001,0,1.363698
480,67.50001,1,1.990581
480,34.50001,1,2.602723
800,49.50001,1,2.757584
640,34.50001,1,2.617712
320,49.50001,1,0.8080414
640,22.5,1,3.940555
320,67.50001,1,0.9015423
320,67.50001,1,0.9470993
640,49.50001,1,2.73061
800,67.50001,0,0.7381383
480,34.50001,0,2.516526
320,34.50001,1,1.183609
800,67.50001,0,0.09847181
640,49.50001,0,2.909897
800,67.50001,0,3.606154
480,49.50001,1,2.685943
320,22.5,0,1.839472
480,34.50001,0,0.7799146
320,34.50001,1,2.379567
640,67.50001,1,3.034921
480,67.50001,1,1.642663
640,67.50001,1,1.768358
800,49.50001,1,2.840154
640,49.50001,0,0.1397431
320,22.5,0,0.0558478
320,22.5,0,2.743037
800,67.50001,0,3.146427
480,67.50001,1,1.775935
800,67.50001,0,3.551245
640,49.50001,1,2.840949
480,34.50001,0,2.686775
800,67.50001,0,4.776176
800,67.50001,0,0.8908937
640,49.50001,0,5.373038
480,34.50001,0,3.343256
320,67.50001,1,0.8498705
320,67.50001,1,0.9402083
320,34.50001,1,1.83912
800,67.50001,1,5.540061
640,22.5,1,4.595266
800,49.50001,1,3.131814
480,34.50001,0,1.682355
480,49.50001,1,1.531306
640,67.50001,1,1.935378
320,34.50001,1,1.313675
320,22.5,0,1.212149
320,34.50001,1,1.380641
800,67.50001,1,1.267172
640,49.50001,0,2.201091
480,49.50001,1,0.868795
640,49.50001,1,1.76655
480,49.50001,1,1.170344
320,49.50001,1,1.155438
640,22.5,1,3.174839
480,34.50001,0,0.1593412
480,22.5,1,2.857141
320,34.50001,1,1.434528
640,34.50001,1,2.756941
800,67.50001,1,2.046645
800,67.50001,1,1.685271
800,67.50001,1,1.698445
640,49.50001,0,1.183505
320,34.50001,1,1.113415
640,67.50001,1,1.823011
480,49.50001,1,1.547285
800,67.50001,0,0.8381442
640,49.50001,0,2.688421
800,49.50001,1,1.934382
320,49.50001,1,0.7130427
320,34.50001,1,1.279991
320,67.50001,1,0.5281491
800,34.50001,1,3.020141
640,49.50001,0,1.280854
480,34.50001,0,0.3904507
480,22.5,1,3.159237
480,67.50001,1,1.434636
800,49.50001,1,2.658346
