width,height,success or failure,time
480,34.50001,0,0.6989926
800,67.50001,0,0.1258266
480,34.50001,0,0.6953571
480,67.50001,1,0.6403832
320,22.5,1,0.6306534
800,67.50001,0,0.0974241
640,67.50001,1,0.7664151
800,34.50001,1,1.378442
640,34.50001,1,1.335605
640,34.50001,1,1.366118
320,49.50001,1,0.3202977
800,49.50001,1,0.9898173
320,67.50001,1,0.2787937
320,22.5,1,0.6405154
480,22.5,1,1.037483
640,49.50001,1,0.7928212
800,34.50001,1,1.338579
480,67.50001,1,0.4180253
320,67.50001,1,0.2509042
800,67.50001,1,0.9417242
320,67.50001,1,0.3065632
640,49.50001,1,0.8215538
320,22.5,1,0.7377609
320,34.50001,1,0.5991596
800,34.50001,1,1.308865
480,34.50001,0,0.682794
480,49.50001,1,0.7658743
640,49.50001,0,0.6413074
800,67.50001,0,0.627897
640,49.50001,1,1.169549
640,49.50001,1,0.8630186
480,34.50001,0,0.0971304
800,67.50001,0,0.152667
480,34.50001,0,1.364847
640,67.50001,1,0.863795
800,67.50001,1,0.7590004
800,67.50001,0,1.240027
640,34.50001,1,1.058522
800,67.50001,1,0.9825233
640,49.50001,0,1.155964
320,49.50001,1,0.412354
480,22.5,1,1.839046
480,34.50001,1,1.267372
320,49.50001,1,0.4588867
320,22.5,1,1.224489
320,49.50001,1,0.4185929
640,67.50001,1,0.9175453
480,49.50001,1,0.7381202
640,49.50001,0,0.1682771
640,67.50001,1,0.8763916
320,34.50001,1,0.8196675
800,67.50001,0,0.8778717
480,67.50001,1,0.6139633
480,49.50001,1,0.9318848
480,22.5,1,1.41865
320,22.5,0,0.4465288
800,67.50001,0,0.4048649
320,22.5,1,1.029185
320,67.50001,1,0.3615316
800,67.50001,1,1.031251
640,49.50001,1,1.003263
480,34.50001,0,0.6406227
800,34.50001,1,1.43266
640,49.50001,1,1.034137
480,34.50001,1,1.196882
800,22.5,1,1.892901
640,67.50001,1,0.8762694
800,67.50001,0,0.0560399
800,49.50001,1,1.354728
640,49.50001,0,0.5983374
640,49.50001,0,0.1816813
480,49.50001,1,0.7371277
800,49.50001,1,0.9745456
320,49.50001,1,0.3623247
480,22.5,1,1.156529
320,34.50001,1,0.5870809
320,34.50001,1,0.8754768
320,22.5,1,1.054783
480,67.50001,1,0.4195227
640,22.5,1,1.475919
640,67.50001,1,0.4815834
320,67.50001,1,0.3068395
320,67.50001,1,0.2653447
800,49.50001,1,1.587435
800,67.50001,0,0.5573824
320,22.5,1,0.8298398
800,67.50001,0,0.5019683
640,67.50001,1,0.7996471
480,49.50001,1,1.002376
480,49.50001,1,0.6265377
320,22.5,0,0.3205309
640,49.50001,0,1.109056
640,34.50001,1,1.434615
800,34.50001,1,2.297117
480,34.50001,1,0.7797725
480,34.50001,1,0.5990748
480,67.50001,1,0.4308185
800,67.50001,0,0.766578
800,34.50001,1,1.977379
320,22.5,1,0.8776488
640,49.50001,0,0.1396663
800,67.50001,0,0.5853449
640,49.50001,0,0.3763167
480,34.50001,1,1.016211
480,49.50001,1,0.7133816
320,22.5,1,0.8211257
640,67.50001,1,0.5587515
800,49.50001,1,0.8167343
320,49.50001,1,0.2923811
480,67.50001,1,0.5436664
640,49.50001,1,0.8337241
320,34.50001,1,0.5988827
