width,height,success or failure,time
640,67.50001,1,0.6533439
320,22.5,0,0.2619583
640,49.50001,0,0.0128318
800,67.50001,0,0.8779304
640,49.50001,0,0.1544507
640,67.50001,1,0.7663176
320,49.50001,1,0.3346606
800,67.50001,0,0.7246401
480,34.50001,0,0.1945579
480,34.50001,0,0.2644275
480,34.50001,1,0.6678453
800,67.50001,0,0.196375
480,34.50001,0,0.3610734
800,67.50001,0,0.3755285
320,67.50001,1,0.4408655
320,49.50001,1,0.3427753
640,49.50001,0,0.3058715
640,67.50001,1,0.9192688
320,22.5,0,0.110077
320,22.5,0,0.2227002
640,49.50001,1,1.364701
800,67.50001,0,0.3197533
800,67.50001,0,0.7578657
480,67.50001,1,0.6196644
640,49.50001,0,0.5861318
480,49.50001,1,0.5579786
480,34.50001,0,0.0414445
320,34.50001,1,0.5160899
480,34.50001,1,0.682065
800,67.50001,0,1.02291
320,67.50001,1,0.2372958
800,67.50001,0,0.0561159
320,22.5,1,1.002223
800,34.50001,1,1.699552
640,49.50001,1,0.8777205
320,22.5,0,0.0279865
800,49.50001,1,1.030389
800,67.50001,0,0.0683325
640,49.50001,0,0.0133382
480,34.50001,1,0.8492306
480,67.50001,1,0.5016115
480,34.50001,0,0.4794687
640,49.50001,0,1.405539
320,22.5,0,0.09698541
480,49.50001,1,0.7823844
640,49.50001,0,0.8777137
320,34.50001,1,0.5421662
800,67.50001,1,1.055661
640,49.50001,0,0.3912199
800,67.50001,0,0.8212601
480,34.50001,0,0.0996116
320,22.5,0,0.1115739
640,49.50001,0,0.4938698
800,67.50001,0,0.1122261
320,22.5,0,0.3202854
480,34.50001,0,0.6279336
640,49.50001,0,0.4893498
800,67.50001,0,1.000949
320,34.50001,1,0.5849586
320,67.50001,1,0.3076453
800,67.50001,0,0.0840559
640,67.50001,1,0.6408486
480,67.50001,1,0.3760307
480,34.50001,0,0.3757907
480,34.50001,0,0.0829539
320,49.50001,1,0.3199384
480,34.50001,0,0.5573505
640,67.50001,1,0.779651
640,49.50001,0,0.3443123
480,34.50001,0,0.2508244
800,67.50001,0,0.1947402
640,49.50001,0,0.2928623
800,67.50001,1,0.8299403
320,67.50001,1,0.3645286
480,34.50001,0,0.8569106
320,49.50001,1,0.3480623
800,67.50001,0,0.0152579
800,67.50001,0,0.571526
320,22.5,0,0.1388651
640,67.50001,1,0.8732214
480,67.50001,1,0.5427758
800,67.50001,0,0.2589973
640,49.50001,0,0.2782184
800,67.50001,0,0.040207
320,22.5,0,0.0137638
640,49.50001,0,0.1112537
800,67.50001,0,0.0587093
320,49.50001,1,0.501223
800,67.50001,0,0.0715074
320,22.5,0,0.3754483
640,67.50001,1,0.8078426
480,34.50001,0,0.3602881
480,34.50001,1,1.237657
320,22.5,0,0.6842272
640,49.50001,0,0.4455201
480,49.50001,1,0.7785595
640,67.50001,1,0.7931084
320,22.5,0,0.4593627
640,49.50001,0,0.0136572
800,67.50001,0,1.544984
800,67.50001,0,0.1402738
640,49.50001,1,1.184009
800,49.50001,1,1.684357
480,67.50001,1,0.5154711
480,34.50001,0,0.2439306
320,22.5,0,0.0243789
800,67.50001,0,0.3200289
320,34.50001,1,0.5286495
320,34.50001,1,0.5579681
480,34.50001,0,0.3764274
480,34.50001,0,0.0559911
640,49.50001,1,1.112833
