width,height,success or failure,time
320,22.5,0,0.1946445
480,34.50001,0,0.0127369
480,34.50001,0,0.2923458
640,49.50001,0,0.2659162
320,34.50001,1,2.020945
800,49.50001,1,1.057512
800,22.5,1,2.660446
320,22.5,0,0.4450177
480,49.50001,1,0.6013817
800,67.50001,0,0.2337267
480,67.50001,1,0.5427635
640,49.50001,0,0.2798019
800,67.50001,0,0.0555344
320,49.50001,1,0.5078089
640,34.50001,1,1.275069
640,49.50001,0,0.3764398
800,67.50001,0,0.8077646
320,22.5,0,0.0424875
640,49.50001,0,0.4447236
800,67.50001,0,0.9887934
480,34.50001,0,0.7933756
320,49.50001,1,0.5584385
480,34.50001,1,1.151608
320,67.50001,1,0.3614065
480,34.50001,0,0.389444
640,49.50001,0,0.2489401
320,22.5,1,0.9040304
640,67.50001,1,0.6182631
640,67.50001,1,0.5848805
480,49.50001,1,0.5847821
800,67.50001,0,0.4203747
800,34.50001,1,1.112658
320,49.50001,1,0.2646739
640,49.50001,0,0.2509508
800,67.50001,0,0.501133
800,67.50001,0,0.3344352
480,34.50001,1,0.4178738
640,67.50001,1,0.6127278
480,34.50001,0,0.4317036
320,34.50001,1,0.5020212
640,49.50001,0,0.5482996
480,49.50001,1,0.5849412
800,67.50001,1,0.9618715
800,67.50001,0,0.2519647
480,34.50001,0,0.3275523
640,49.50001,1,1.031301
320,22.5,0,0.2923032
320,49.50001,1,0.418573
640,67.50001,1,0.7515839
480,34.50001,0,0.5379889
320,22.5,1,0.5711294
640,34.50001,1,1.120456
800,34.50001,1,1.3794
640,67.50001,1,0.6967867
320,49.50001,1,0.3857292
800,67.50001,1,0.9603215
480,34.50001,0,0.4328849
480,67.50001,1,0.6816726
320,49.50001,1,0.3763216
480,22.5,1,0.7661285
800,67.50001,0,0.3052589
640,49.50001,1,0.8217278
320,22.5,1,0.5983241
800,67.50001,0,1.058117
480,49.50001,1,0.5993235
640,49.50001,0,0.9058883
480,34.50001,1,0.6945861
800,49.50001,1,0.876079
320,22.5,0,0.195283
800,67.50001,0,0.6409357
480,49.50001,1,0.7380453
480,67.50001,1,0.5942665
800,34.50001,1,1.238846
800,67.50001,0,0.1172948
640,49.50001,0,0.8915542
640,67.50001,1,0.7301827
320,67.50001,1,0.3807635
320,67.50001,1,0.2778347
320,22.5,1,0.2791034
640,49.50001,1,0.6149425
800,67.50001,1,0.6242232
480,34.50001,0,0.1812318
320,67.50001,1,0.3203319
320,34.50001,1,0.3211105
640,22.5,1,0.5581955
320,49.50001,1,0.2786531
480,49.50001,1,0.4578108
800,67.50001,0,0.8080599
640,34.50001,1,0.8628581
480,34.50001,0,0.3629436
640,49.50001,1,0.595376
800,67.50001,1,0.8496867
480,22.5,1,0.487506
640,67.50001,1,0.6392187
800,67.50001,0,0.4923541
320,34.50001,1,0.2498309
480,67.50001,1,0.3966219
640,49.50001,0,0.5026327
640,67.50001,1,0.4872138
640,49.50001,1,0.5144333
800,67.50001,0,0.3034684
800,67.50001,0,0.6691182
640,67.50001,1,0.7055902
320,22.5,1,0.4029009
480,34.50001,0,0.3630628
800,67.50001,0,1.002306
320,49.50001,1,0.2491092
480,34.50001,0,0.3342462
320,22.5,0,0.054849
320,22.5,1,0.474154
480,34.50001,1,0.5157384
800,34.50001,1,0.7517894
