width,height,success or failure,time
480,22.5,1,0
480,34.50001,1,0
480,49.50001,1,0
640,49.50001,1,0
640,22.5,1,0
800,34.50001,1,0
800,49.50001,1,0
320,34.50001,1,0
640,34.50001,1,0
320,49.50001,1,0
800,67.50001,1,0
480,67.50001,1,0
640,67.50001,1,0
320,67.50001,1,0
320,22.5,1,0
800,22.5,1,0
320,34.50001,1,0
480,49.50001,1,0
640,22.5,1,0
320,67.50001,1,0
640,67.50001,1,0
640,49.50001,1,0
480,22.5,1,0
800,67.50001,1,0
320,22.5,1,0
640,34.50001,1,0
480,67.50001,1,0
480,34.50001,1,0
800,34.50001,1,0
800,49.50001,1,0
800,22.5,1,0
320,49.50001,1,0
800,67.50001,1,0
640,49.50001,1,0
480,67.50001,1,0
640,22.5,1,0
800,22.5,1,0
480,22.5,1,0
640,34.50001,1,0
320,67.50001,1,0
800,34.50001,1,0
480,34.50001,1,0
320,49.50001,1,0
320,22.5,1,0
800,49.50001,1,0
480,49.50001,1,0
320,34.50001,1,0
640,67.50001,1,0
320,22.5,1,0
640,67.50001,1,0
480,49.50001,1,0
640,34.50001,1,0
800,49.50001,1,0
800,67.50001,1,0
480,22.5,1,0
320,67.50001,1,0
640,49.50001,1,0
800,22.5,1,0
640,22.5,1,0
320,34.50001,1,0
800,34.50001,1,0
320,49.50001,1,0
480,67.50001,1,0
480,34.50001,1,0
320,67.50001,1,0
640,34.50001,1,0
320,22.5,1,0
640,49.50001,1,0
480,67.50001,1,0
480,22.5,1,0
800,67.50001,1,0
480,34.50001,1,0
800,34.50001,1,0
320,49.50001,1,0
480,49.50001,1,0
640,22.5,1,0
320,34.50001,1,0
800,22.5,1,0
640,67.50001,1,0
800,49.50001,1,0
640,67.50001,1,0
800,34.50001,1,0
800,67.50001,1,0
480,67.50001,1,0
480,34.50001,1,0
320,22.5,1,0
320,49.50001,1,0
480,49.50001,1,0
480,22.5,1,0
320,34.50001,1,0
640,49.50001,1,0
800,49.50001,1,0
320,67.50001,1,0
640,22.5,1,0
800,22.5,1,0
640,34.50001,1,0
320,22.5,1,0
800,67.50001,1,0
480,49.50001,1,0
320,67.50001,1,0
320,34.50001,1,0
480,22.5,1,0
640,22.5,1,0
320,49.50001,1,0
640,67.50001,1,0
800,22.5,1,0
800,34.50001,1,0
480,34.50001,1,0
800,49.50001,1,0
640,34.50001,1,0
640,49.50001,1,0
480,67.50001,1,0
width,height,success or failure,time
320,49.5,1,0
640,49.5,1,0
480,49.5,1,0
800,22.5,1,0
800,67.5,1,0
320,67.5,1,0
320,34.5,1,0
640,34.5,1,0
640,22.5,1,0
480,67.5,1,0
800,49.5,1,0
480,34.5,1,0
320,22.5,1,0
640,67.5,1,0
480,22.5,1,0
800,34.5,1,0
640,49.5,1,0
480,49.5,1,0
640,34.5,1,0
320,49.5,1,0
480,22.5,1,0
480,67.5,1,0
320,22.5,1,0
800,49.5,1,0
320,34.5,1,0
800,67.5,1,0
640,22.5,1,0
480,34.5,1,0
320,67.5,1,0
800,34.5,1,0
640,67.5,1,0
800,22.5,1,0
640,34.5,1,0
640,22.5,1,0
800,22.5,1,0
480,67.5,1,0
640,67.5,1,0
320,22.5,1,0
640,49.5,1,0
800,49.5,1,0
320,67.5,1,0
320,49.5,1,0
320,34.5,1,0
800,67.5,1,0
800,34.5,1,0
480,49.5,1,0
480,34.5,1,0
480,22.5,1,0
640,67.5,1,0
800,67.5,1,0
480,34.5,1,0
320,22.5,1,0
800,49.5,1,0
320,34.5,1,0
800,22.5,1,0
480,22.5,1,0
640,22.5,1,0
800,34.5,1,0
480,49.5,1,0
640,49.5,1,0
480,67.5,1,0
320,49.5,1,0
640,34.5,1,0
320,67.5,1,0
800,67.5,1,0
640,49.5,1,0
480,34.5,1,0
480,22.5,1,0
320,22.5,1,0
320,34.5,1,0
800,34.5,1,0
480,67.5,1,0
640,22.5,1,0
640,34.5,1,0
320,67.5,1,0
640,67.5,1,0
320,49.5,1,0
800,49.5,1,0
480,49.5,1,0
800,22.5,1,0
480,67.5,1,0
480,22.5,1,0
320,49.5,1,0
640,67.5,1,0
800,67.5,1,0
480,34.5,1,0
800,49.5,1,0
320,22.5,1,0
480,49.5,1,0
640,22.5,1,0
640,49.5,1,0
320,34.5,1,0
320,67.5,1,0
800,22.5,1,0
800,34.5,1,0
640,34.5,1,0
800,49.5,1,0
640,49.5,1,0
800,22.5,1,0
640,34.5,1,0
480,67.5,1,0
640,22.5,1,0
800,34.5,1,0
480,34.5,1,0
800,67.5,1,0
480,49.5,1,0
640,67.5,1,0
320,22.5,1,0
320,34.5,1,0
320,67.5,1,0
320,49.5,1,0
480,22.5,1,0
width,height,success or failure,time
480,49.5,1,0
640,34.5,1,0
320,67.5,1,0
800,49.5,1,0
640,22.5,1,0
480,22.5,1,0
640,67.5,1,0
480,34.5,1,0
800,22.5,1,0
640,49.5,1,0
320,34.5,1,0
320,22.5,1,0
800,67.5,1,0
800,34.5,1,0
480,67.5,1,0
320,49.5,1,0
640,34.5,1,0
320,49.5,1,0
800,22.5,1,0
800,67.5,1,0
320,34.5,1,0
320,22.5,1,0
480,34.5,1,0
640,67.5,1,0
800,49.5,1,0
480,22.5,1,0
320,67.5,1,0
640,49.5,1,0
480,49.5,1,0
480,67.5,1,0
800,34.5,1,0
640,22.5,1,0
800,67.5,1,0
640,67.5,1,0
640,22.5,1,0
800,22.5,1,0
480,34.5,1,0
480,67.5,1,0
800,49.5,1,0
480,22.5,1,0
320,49.5,1,0
640,49.5,1,0
800,34.5,1,0
480,49.5,1,0
320,34.5,1,0
320,22.5,1,0
640,34.5,1,0
320,67.5,1,0
800,22.5,1,0
640,22.5,1,0
480,34.5,1,0
480,49.5,1,0
800,49.5,1,0
480,67.5,1,0
800,34.5,1,0
320,34.5,1,0
640,67.5,1,0
800,67.5,1,0
320,49.5,1,0
320,67.5,1,0
640,34.5,1,0
640,49.5,1,0
480,22.5,1,0
320,22.5,1,0
320,49.5,1,0
640,49.5,1,0
480,22.5,1,0
800,22.5,1,0
640,34.5,1,0
480,49.5,1,0
320,34.5,1,0
800,67.5,1,0
480,34.5,1,0
640,67.5,1,0
320,67.5,1,0
800,49.5,1,0
320,22.5,1,0
800,34.5,1,0
640,22.5,1,0
480,67.5,1,0
640,22.5,1,0
320,49.5,1,0
640,34.5,1,0
320,67.5,1,0
480,34.5,1,0
480,49.5,1,0
800,22.5,1,0
640,67.5,1,0
800,34.5,1,0
800,49.5,1,0
640,49.5,1,0
480,67.5,1,0
320,22.5,1,0
800,67.5,1,0
320,34.5,1,0
480,22.5,1,0
800,49.5,1,0
320,22.5,1,0
640,34.5,1,0
480,34.5,1,0
480,49.5,1,0
480,67.5,1,0
800,34.5,1,0
800,22.5,1,0
320,34.5,1,0
640,67.5,1,0
640,49.5,1,0
640,22.5,1,0
800,67.5,1,0
320,49.5,1,0
480,22.5,1,0
320,67.5,1,0
width,height,success or failure,time
0,0,1,0
480,67.5,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
320,67.5,1,0
640,67.5,1,0
0,0,1,0
0,0,1,0
800,67.5,1,0
320,49.5,1,0
0,0,1,0
320,22.5,1,0
320,34.5,1,0
640,67.5,1,0
320,34.5,1,0
0,0,1,0
0,0,1,0
320,49.5,1,0
0,0,1,0
480,67.5,1,0
320,67.5,1,0
0,0,1,0
0,0,1,0
0,0,1,0
320,22.5,1,0
0,0,1,0
0,0,1,0
0,0,1,0
800,67.5,1,0
0,0,1,0
320,67.5,1,0
320,49.5,1,0
0,0,1,0
640,67.5,1,0
480,67.5,1,0
0,0,1,0
0,0,1,0
320,34.5,1,0
0,0,1,0
0,0,1,0
800,67.5,1,0
0,0,1,0
0,0,1,0
320,22.5,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
640,67.5,1,0
0,0,1,0
0,0,1,0
0,0,1,0
320,67.5,1,0
320,49.5,1,0
0,0,1,0
0,0,1,0
0,0,1,0
320,34.5,1,0
480,67.5,1,0
320,22.5,1,0
800,67.5,1,0
0,0,1,0
320,34.5,1,0
0,0,1,0
480,67.5,1,0
800,67.5,1,0
320,67.5,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
320,22.5,1,0
640,67.5,1,0
0,0,1,0
0,0,1,0
0,0,1,0
320,49.5,1,0
480,67.5,1,0
0,0,1,0
800,67.5,1,0
0,0,1,0
320,67.5,1,0
640,67.5,1,0
0,0,1,0
320,22.5,1,0
0,0,1,0
0,0,1,0
0,0,1,0
320,34.5,1,0
320,49.5,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
320,49.5,1,0
0,0,1,0
320,67.5,1,0
320,34.5,1,0
0,0,1,0
320,22.5,1,0
0,0,1,0
0,0,1,0
800,67.5,1,0
0,0,1,0
640,67.5,1,0
0,0,1,0
480,67.5,1,0
0,0,1,0
0,0,1,0
width,height,success or failure,time
800,34.5,1,0
800,22.5,1,0
320,22.5,1,0
640,67.5,1,0
480,34.5,1,0
320,34.5,1,0
480,49.5,1,0
640,49.5,1,0
800,49.5,1,0
800,67.5,1,0
320,67.5,1,0
480,67.5,1,0
640,34.5,1,0
480,22.5,1,0
640,22.5,1,0
320,49.5,1,0
480,22.5,1,0
640,22.5,1,0
640,67.5,1,0
480,67.5,1,0
320,22.5,1,0
480,34.5,1,0
320,49.5,1,0
640,49.5,1,0
800,34.5,1,0
640,34.5,1,0
800,67.5,1,0
480,49.5,1,0
800,49.5,1,0
800,22.5,1,0
320,67.5,1,0
320,34.5,1,0
800,49.5,1,0
640,67.5,1,0
640,49.5,1,0
320,22.5,1,0
800,67.5,1,0
320,49.5,1,0
800,34.5,1,0
480,34.5,1,0
320,67.5,1,0
480,67.5,1,0
640,34.5,1,0
480,22.5,1,0
800,22.5,1,0
320,34.5,1,0
640,22.5,1,0
480,49.5,1,0
320,67.5,1,0
640,22.5,1,0
640,34.5,1,0
800,22.5,1,0
800,67.5,1,0
800,34.5,1,0
640,49.5,1,0
320,34.5,1,0
480,67.5,1,0
640,67.5,1,0
800,49.5,1,0
480,34.5,1,0
480,22.5,1,0
480,49.5,1,0
320,22.5,1,0
320,49.5,1,0
320,49.5,1,0
480,22.5,1,0
640,22.5,1,0
800,34.5,1,0
640,34.5,1,0
800,67.5,1,0
480,49.5,1,0
320,34.5,1,0
640,67.5,1,0
640,49.5,1,0
480,67.5,1,0
320,22.5,1,0
320,67.5,1,0
480,34.5,1,0
800,22.5,1,0
800,49.5,1,0
800,34.5,1,0
320,67.5,1,0
640,22.5,1,0
320,49.5,1,0
480,22.5,1,0
640,34.5,1,0
800,67.5,1,0
800,49.5,1,0
640,49.5,1,0
320,22.5,1,0
640,67.5,1,0
320,34.5,1,0
480,34.5,1,0
480,67.5,1,0
480,49.5,1,0
800,22.5,1,0
320,22.5,1,0
320,34.5,1,0
640,67.5,1,0
640,49.5,1,0
480,67.5,1,0
640,22.5,1,0
640,34.5,1,0
800,22.5,1,0
480,22.5,1,0
320,49.5,1,0
800,34.5,1,0
480,34.5,1,0
800,49.5,1,0
800,67.5,1,0
320,67.5,1,0
480,49.5,1,0
